Номенклатура для категории клиентов: Бары
"Источник: прайс-лист на 29 апреля 2026 г.; подгрупп: 3; позиций: 244"

Номенклатура
"Основа для безалкогольных напитков ""Черносмородиновая"" Barinoff 1л/6шт пл/бут, РФ, шт"
"Основа для безалкогольных напитков ""Черный чай с малиной"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Основа для безалкогольных напитков ""Черный чай"" Barinoff 1л/6шт ст/бут, РФ, шт"
Основа лимонная Barinoff 1л/6шт ст/бут, РФ, шт
"Пюре ""Апельсин"" без сахара ARTPUREE 1кг/6шт, РФ, шт"
"Пюре ""Груша"" ARTPUREE 1кг/6шт, РФ, шт"
"Пюре ""Киви"" ARTPUREE 1кг/6шт, РФ, шт"
"Пюре ""Клубника"" ARTPUREE 1кг/6шт, РФ, шт"
"Пюре ""Кокос"" ARTPUREE 1кг/6шт, РФ, шт"
"Пюре ""Лимон"" без сахара ARTPUREE 1кг/6шт, РФ, шт"
"Пюре ""Малина"" ARTPUREE 1кг/6шт, РФ, шт"
"Пюре ""Манго"" ARTPUREE 1кг/6шт, РФ, шт"
"Пюре ""Маракуйя"" без косточки Термо ARTPUREE 1кг/6шт, РФ, шт"
"Пюре ""Облепиха"" ARTPUREE 1кг/6шт, РФ, шт"
"Пюре ""Персик"" ARTPUREE 1кг/6шт, РФ, шт"
"Пюре ""Смородина черная"" ARTPUREE 1кг/6шт, РФ, шт"
Дозатор 31мм, доза-5мл, l-трубочки 238мм, РФ, шт
"Сироп ""Айриш-Крим"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Амаретто"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Ананас"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Апельсин"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Арбуз"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Бабл Гам"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Бейлиз"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Белый шоколад"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Бразильский орех"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Брауни"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Бузина"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Ваниль"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Вишня"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Голубое Кюрасао"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Грейпфрут"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Гренадин"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Груша"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Дыня"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Ежевика"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Жареная Карамель"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Жареный Миндаль"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Жареный Фундук"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Жёлтый Банан"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Зеленая мята"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Зелёное Яблоко"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Зелёный банан"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Земляника"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Изабелла"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Имбирный пряник"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Имбирный"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Карамель"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Каштан"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Кедровый орех"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Киви"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Кленовый"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Клубника"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Клюква"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Кокос"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Кола"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Корица"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Кофе"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Красный апельсин"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Лаванда"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Лайм"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Лемонграсс"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Лесной орех"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Лесные ягоды"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Лимон"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Личи"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Макадамия"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Малина"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Манго"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Мандарин"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Маракуйя"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Мёд"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Миндаль"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Мохито"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Облепиха"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Огурец"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Острый"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Персик"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Пина Колада"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Попкорн"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Пралине"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Роза"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Ром"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Сахарный Тростник"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Солёная карамель"" Barinoff 0,25л/12шт ст/бут, РФ, шт"
"Сироп ""Солёная карамель"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Соленый Пекан"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Тархун"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Тирамису"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Тоффи"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Трипл Сек"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Фиалка"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Фисташки"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Чёрная Смородина"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Шоколад"" Barinoff 0,25л/12шт ст/бут, РФ, шт"
"Сироп ""Шоколад"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Шоколадное печенье"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Сироп ""Шоколадный батончик"" Barinoff 1л/6шт ст/бут, РФ, шт"
"Топпинг ""Бабл гам"" Barinoff 1л/6шт пл/бут, РФ, шт"
"Топпинг ""Банан"" Barinoff 1л/6шт пл/бут, РФ, шт"
"Топпинг ""Белый шоколад"" Barinoff 1л/6шт пл/бут, РФ, шт"
"Топпинг ""Ваниль"" Barinoff 1л/6шт пл/бут, РФ, шт"
"Топпинг ""Вишня"" Barinoff 1л/6шт пл/бут, РФ, шт"
"Топпинг ""Голубое кюрасао"" Barinoff 1л/6шт пл/бут, РФ, шт"
"Топпинг ""Карамель"" Barinoff 1л/6шт пл/бут, РФ, шт"
"Топпинг ""Киви"" Barinoff 1л/6шт пл/бут, РФ, шт"
